title,description,article_text,labels
Ce club qui se moque ouvertement de Cristiano Ronaldo,Le président de Flamengo se moque ouvertement de Cr7 dans les médias brésiliens.," Le président de Flamengo a rejeté les spéculations concernant l'arrivée de Cristiano Ronaldo au Brésil, affirmant que la star de Manchester United coûterait plus cher que l'ensemble de l'équipe pour rester sur le banc. Ronaldo a été remplaçant pendant la majeure partie de la saison et a été écarté par Erik ten Hag après avoir quitté Manchester United lors de sa récente victoire sur Tottenham. L'avenir du joueur de 37 ans est incertain depuis qu'il a demandé à quitter United cet été et le récent incident n'a fait que renforcer les rumeurs selon lesquelles il pourrait quitter Old Trafford en janvier. Cependant, l'intérêt pour Ronaldo a été minime et Flamengo a été le dernier club à exclure un transfert après que le président Rodolfo Landim ait plaisanté sur le fait que l'international portugais et Neymar seraient les nouvelles recrues du club. ""Il va prendre la place de qui ?"" a déclaré Landim. ""J'ai vu que Ronaldo a reçu une offre de 242 millions de dollars pour un contrat de deux ans. Si vous divisez ce montant par 24 mois, cela représente environ 10 millions de dollars par mois. ""Donc, nous parlons d'une valeur bien supérieure à toute la masse salariale de Flamengo pour que Cristiano Ronaldo s'assoie sur le banc de Pedro ou de Gabigol.""",football
"Zidane, son avenir est acté : incroyable retournement de situation !","Libre depuis son départ du Real Madrid, Zinédine Zidane devrait bientôt reprendre du service. "," Alors qu'il n'a toujours pas retrouvé de banc depuis son départ du Real Madrid, Zinédine Zidane aurait déjà scellé son avenir. Le nom de l'ancien meneur de jeu des Bleus a fait l'objet d'un large feuilleton l'été dernier, lorsqu'il était associé au Paris Saint-Germain pour succéder à Mauricio Pochettino. Mais c'est bien l'équipe de France que le technicien français devrait prendre en main. À très court terme. Zidane fonce vers les Bleus ! Selon les indiscrétions du journaliste espagnol Sergio Valentin, Zinédine Zidane sera aux commandes des Bleus dans quelques semaines, dès que la sélection tricolore aura terminé son parcours au Qatar. Et ce quel que soit sa performance dans la compétition. Une élimination précoce ou un nouveau sacre conduisant à une 3e étoile ne changerait rien à l'affaire : le siège serait réservé à l'ex-numéro 10. C'est évidemment le sens de l'histoire. Pour son aura, son statut, son incroyable palmarès dans sa deuxième vie d'entraîneur et son feeling avec bon nombre de joueurs cadres de la sélection, Zidane coche toutes les cases pour la fonction. La surprise vient plutôt du timing, déjà, et surtout du manque de latitude laissé à Didier Deschamps... à moins que l'actuel sélectionneur ait lui aussi pris sa décision en amont, ce qu'il s'est toujours refusé à dire publiquement. Le contrat de Didier Deschamps expirant après la Coupe du monde, ce dernier ne souhaite pas saper son autorité pour la compétition reine. Si Deschamps n'apprécie pas vraiment le bourdonnement médiatique autour de son ancien coéquipier, qu'il perçoit comme une forme de pression, Zidane, lui, assume publiquement son ambition. ""Quand je dis que j’ai envie de prendre un jour l’équipe de France, je l’assume, avait-t-il lâché dans un entretien accordé à L’Équipe pour ses 50 ans, l'été dernier. Aujourd’hui, une équipe est en place. Avec ses objectifs. Mais si l’opportunité se présente ensuite, alors je serai là. Encore une fois, cela ne dépend pas de moi. Mon envie profonde est là. L’équipe de France est la plus belle chose qui soit. Quand on te donne le maillot de l’équipe de France, c’est particulier. Mes premières sélections étaient particulières. Il y avait des joueurs incroyables comme Cantona, Ginola ou Blanc. Quand tu goûtes aux Bleus, c’est magnifique. C’est tellement fort, puissant... ». À ce moment-là, alors que son nom circulait à Paris, Zidane savait peut-être déjà que son destin était tracé. De DD à ZZ, l'équipe de France connaîtra un passage de témoins. Elle espère le faire au sommet du monde.",football
Un nouvel adversaire pour l’Algérie en novembre,"En plus de la Suède, l’Algérie de Belmadi va se mesurer à un autre adversaire durant le mois de novembre."," L’équipe nationale algérienne sera de sortie en ce mois de novembre, même si elle n’est pas concernée par la Coupe du Monde au Qatar. En l’espace de trois jours, et comme ce fut le cas en septembre, elle va disputer deux matches amicaux. Les Fennecs se sont mis d’accord avec les Suédois pour un face à face dans le nouveau stade de Malmo le 19 novembre prochain. Mais, avant de prendre la direction de la Scandinavie, ils vont jouer à domicile face à un adversaire africain. Un bon test pour l’Algérie Le 16 novembre (à 20h30 locale), au stade Miloud Hadefi d’Oran, les champions d’Afrique 2019 vont accueillir leur voisin malien. Une belle empoignade en perspective et qui oppose deux équipes ayant échoué en barrages de la dernière Coupe du Monde. L’Algérie a remporté ses deux dernières oppositions contre le Mali. C’était à chaque fois en amical. Le dernier succès malien remonte lui à novembre 2014. C’était à Bamako pour le compte des éliminatoires de la CAN. Deux nouveaux visages chez les Verts ? Cette rencontre face aux Aigles pourrait voir deux binationaux effectuer leurs débuts avec le maillot algérien sur le dos. Rayan Ait Nouri (Wolverhampton) et Houssem Aouar (Lyon) sont pressentis pour traverser la méditerranée. Pour rappel, l’Algérie est dispensée des matches amicaux jusqu’au mois de mars prochain. C’est à ce moment-là que reprendront les qualifications pour la CAN 2024, prévus en Cote d'Ivoire. Pour l'édition d'après, l'Algérie se dite prête à organiser l'évènement après que la CAF ait décidé de retirer l’organisation à la Guinée.",football
"Troyes – Auxerre : diffusion TV, live streaming, compos probables et avant-match","Où voir le match ? Heure du coup d'envoi, les compositions : GOAL vous dévoile toutes les informations utiles sur le derby entre Troyes et Auxerre."," Un petit point sépare Troyes, douzième, d'Auxerre, seizième. Les deux voisins, séparés de 60 kilomètres, se retrouveront ce vendredi soir pour un derby toujours très attendu par les supporters des deux clubs. Et comme pour tout derby, la photographie du classement ne comptera pas. Pour cette rencontre ouvrant la 14e journée de Ligue 1, l'ESTAC et l'AJA espère confirmer leurs dernières prestations encourageantes.  La formation de Bruno Irles s'est inclinée au Parc des Princes contre un PSG porté par ses stars (3-4), mais sa qualité offensive a sauté aux yeux. De son côté, le promu a lancé une nouvelle dynamique positive avec l'arrivée de Christophe Pélissier, qui n'a pas manqué sa première en menant l'AJA à une victoire extrêmement précieuse contre Ajaccio (1-0). Le décor est planté. Où se jouera Troyes - Auxerre ? Sur quelle chaîne voir le match Troyes - Auxerre ? Le match entre Troyes et Auxerre comptant pour la 14e journée de Ligue 1 sera diffusé sur Prime Vidéo, chaîne du groupe Amazon. Le streaming pour voir le match Troyes - Auxerre Il vous sera aussi de possible de voir la rencontre en Streaming via le passe Ligue 1 sur la plateforme du groupe Amazon. Les équipes probables pour la rencontre Troyes - Auxerre Troyes : Gallon - T. Baldé, Porozo, Palmer-Brown, Salmier, Conté - Lopes, Kouamé, Chavalerin, Odobert - M. Baldé. Auxerre : Costil - Raveloson, Jubal, Janvier, Mensah - Touré, Sakhi - Sinayoko, Autret, Perrin - Da Costa. ● Ce sera la 1re rencontre entre Troyes et Auxerre en Ligue 1 depuis le 5 mai 2007 (1-0 pour l’AJA à l’Abbé-Deschamps). L’Estac n’a remporté aucun de ses 7 derniers matches dans l’élite contre les Auxerrois (2 nuls, 5 défaites), sa dernière victoire remontant au 13 octobre 2001 (3-1 dans l’Yonne). ● Troyes n’a gagné aucun de ses 4 derniers matches à domicile en Ligue 1 contre Auxerre (2 défaites puis 2 nuls), après avoir remporté les 2 premiers. L’Estac a toujours marqué sur ses terres dans l’élite contre l’AJA (9 buts en 6 réceptions). ● Troyes n’a gagné aucun de ses 5 derniers matches de Ligue 1 (3 nuls, 2 défaites), après avoir gagné 3 de ses 5 précédents (1 nul, 1 défaite). ● Auxerre affiche 12 points après 13 matches de Ligue 1 cette saison, son plus faible total à ce stade de la compétition depuis 1981/82 (10 en comptant 3 points pour une victoire). Néanmoins, l’AJA n’a perdu que 2 de ses 5 derniers matches de L1 (1 victoire, 2 nuls), après s’être inclinée lors de ses 4 précédents. ● Troyes a partagé les points lors de ses 4 derniers matches de Ligue 1 à domicile (2-2 x2 et 1-1 x2). Depuis le début de saison 2021/22, seul Cadix (12) a réalisé plus de matches nuls à domicile que l’Estac (11) dans les 5 grands championnats européens. ● Auxerre a perdu 5 de ses 6 déplacements en Ligue 1 cette saison (1 victoire). L’AJA a encaissé 16 buts à l’extérieur dans l’élite en 2022/23, seul...Troyes fait pire (18). ● Troyes est l’équipe ayant encaissé le plus de buts depuis l’extérieur de la surface en Ligue 1 cette saison (5), dont un lors de son dernier match au Parc des Princes contre Paris. ● Seul Monaco (6) a marqué plus de buts qu’Auxerre (5) sur corner en Ligue 1 cette saison. L’AJA a d’ailleurs inscrit 3 de ses 4 derniers buts dans l’élite à la suite d’un corner. ● Mama Baldé a égalé le plus haut total de buts pour un joueur de Troyes après 13 journées d’une saison de Ligue 1 (7 – comme Sladjan Djukic en 2000/01). L’attaquant bissao-guinéen a réalisé 2 doublés en L1 cette saison (v Clermont le 18 septembre et v Paris le 29 octobre), seul Nicolas Goussé en 2001/02 a réussi à marquer au moins 2 buts lors de 3 rencontres différentes d’un même exercice de l’élite avec l’Estac (3). ● Mathias Autret est impliqué sur 4 buts en Ligue 1 cette saison (2 buts, 2 assists), soit au moins 2 de plus que tout autre joueur d’Auxerre. Il a été décisif lors de chacun de ses 2 derniers matches dans l’élite (1 assist v Nice le 16 octobre et 1 assist v Ajaccio le 30 octobre), mais n’a plus été décisif lors de 3 rencontres consécutives d’une même saison de L1 depuis août 2019 avec Brest (1 but, 2 assists).",football
Stupeur : Gerard Piqué annonce sa retraite IMMEDIATE !,Le défenseur du Barça a choqué le monde du football avec sa retraite immédiate !," Le défenseur central du FC Barcelone, Gerard Piqué, a confirmé que le match à domicile de samedi face à Almeria sera son dernier au Camp Nou pour le club. Le joueur a posté une vidéo émouvante sur ses comptes de médias sociaux confirmant qu'il est temps de ""fermer la boucle"" avec le club catalan. Piqué n'a pas révélé sa prochaine destination mais a conclu la vidéo par un message cryptique ""Je reviendrai"". Voici la transcription complète du message posté sur Twitter par le joueur : Culers [fans de Barcelone], c'est Gerard. Ces dernières semaines, ces derniers mois, beaucoup de gens ont parlé de moi. Jusqu'à présent, je n'ai rien dit. Mais maintenant, je veux être celui qui parle de moi. Comme beaucoup d'entre vous, j'ai toujours été un fan du Barça. Je suis né dans une famille de supporters du Barça qui aime le football. Dès mon plus jeune âge, je ne voulais pas devenir un joueur de football, je voulais être un joueur du Barça. J'ai beaucoup pensé à cet enfant ces derniers temps. A ce que le petit Gérard aurait pensé, si on lui avait dit que tous ses rêves se réaliseraient. Qu'il entrerait dans l'équipe première du Barça. Qu'il gagnerait tous les trophées possibles. Qu'il deviendrait champion d'Europe et champion du monde. Qu'il jouerait aux côtés des meilleurs joueurs de l'histoire. Qu'il deviendrait l'un des capitaines de l'équipe. Qu'il se ferait des amis pour la vie. Cela fait vingt-cinq ans que j'ai rejoint le Barça. Je suis parti et je suis revenu. Le football m'a tout donné. Le Barça m'a tout donné. Vous, les culers, m'avez tout donné. Et maintenant que tous ces rêves d'enfant sont devenus réalité, je veux vous dire que j'ai décidé que le moment est venu de mettre un terme à ce voyage.",football
OM : l'immense coup de gueule de Valbuena sur Tudor !,L'ancien meneur de jeu de l'Olympique de Marseille n'a pas du tout apprécié les choix d'Igor Tudor contre Tottenham. ," En s'inclinant dans les dernières secondes face à Tottenham après un scénario particulièrement frustrant, mardi soir (1-2), l'Olympique de Marseille tire un trait sur son aventure européenne cette saison. Le club phocéen a touché du doigt une qualification pour les huitièmes de finale de la Ligue des Champions, avant de voir s'échapper la troisième place de sa poule synonyme de repêchage en Ligue Europa.  Valbuena évoque ""une faute progressionnelle"" Mathieu Valbuena garde un regard avisé sur l'actualité de l'Olympique de Marseille. Premier supporter du club phocéen, l'ancien meneur de jeu estime qu'Igor Tudor est grandement responsable de cet échec. ""L'OM avait de quoi jouer la deuxième place, largement. Même finir dernier de ce groupe, alors que tu avais la troisième place en main jusqu'à la dernière seconde, c'est un échec. Que les joueurs n'aient pas été mis au courant du résultat de Francfort, c'est lunaire. C'est une faute professionnelle"", a-t-il tonné dans des propos accordés à So Foot.  ""Résultat : l'OM n'a rien, à part la queue entre les deux jambes, a poursuivi Valbuena. On peut parler des choix de Tudor, de ses changements incompréhensibles. Quand tu joues le match de l'année et que tu ne fais pas entrer Payet... Même s'il n'est pas en grande forme, dans une fin de match comme ça, il peut faire la différence sur coup-franc ou sur un geste. Pareil, sortir Clauss pour Kaboré, sans lui jeter la pierre, ce n'était pas le choix le plus judicieux. Quand tu jettes ton dévolu sur un match qui conditionne ta saison, l'avenir de ton club, ces choix laissent perplexes"", a conclu l'ancien milieu offensif marseillais, particulièrement remonté.",football
Longoria drague Mbappé et Messi ? L'étrange déclaration,Pablo Longoria ne tarit pas d'éloges concernant les deux attaquants parisiens.," Le président de l'OM évoque avec entrain l’arrivée de Lionel Messi en Ligue 1 à l’été 2021, mais aussi la prolongation de Kylian Mbappé en mai dernier au sein du club de la capitale. Dans des propos fournis à Marca, le président olympien a ainsi évoqué les deux joueurs.  « Lionel Messi ? Il attire, il y a un intérêt collectif, il n’y a aucun doute, il a permis à la Ligue 1 d’avoir un partenaire stratégique comme CVC. Il a une influence. Il est important pour le football français de changer de dimension », a ainsi louangé le dirigeant ibérique.  Longoria mentionne aussi la prolongation de Kylian Mbappé au PSG jusqu’en juin 2025: « Il y a une grande différence dans la conception et la vision que l’on peut avoir en Espagne sur le fait que Mbappé reste au PSG. En Espagne, le championnat français est très sous-estimé. C’est une ligue compétitive ». Ces compliments sont-ils pour autant une trahison pour les supporters de l'OM ?",football
Nasri se moque de Deschamps : fou rire général au CFC !,"Consultant pour Canal +, Samir Nasri s'impose dans le paysage des consultants grâce à son franc-parler. "," La 6e et ultime journée de la phase de poules de la Ligue des Champions a été riche en rebondissements, mercredi soir. Elle a également mis en lumière les attaquants français. Comme Kylian Mbappé (PSG) ou Christopher Nkunku (RB Leipzig), Olivier Giroud a soigné ses statistiques. Double buteur et double passeur décisif, le champion du monde 2018 a été le grand artisan du succès de l'AC Milan contre Salzbourg, synonyme de qualification pour les huitièmes de finale de la compétition. Quand Nasri plaisante au sujet de Deschamps La prestation aboutie de Giroud a été très commentée sur le plateau du Canal Champions Club, émission phare du diffuseur de la Ligue des Champions cette saison. Et une fois de plus, Samir Nasri s'est distingué par sa franchise. Présent aux côtés d'Hervé Mathoux, Olivier Dacourt ou encore Laure Boulleau, l'ancien international français a estimé qu'Olivier Giroud méritait d'intégrer la liste de l'équipe de France pour la Coupe du monde au Qatar. ""Bien sur qu'il mérite d'y être pourquoi il n'y serait pas ? Moi, je le prendrai"". Une remarque logique au vu de la performance de l'avant-centre français. Il a alors été rétorqué à Nasri, sur le ton de la plaisanterie, qu'il devait appeler Didier Deschamps afin de le convaincre. Ce à quoi l'ancien meneur de jeu de l'OM a répondu : ""Appeler Deschamps ? Ah ben non si c'est moi qui lui dis il le prend pas"", a lâché l'ancien milieu de terrain. De quoi provoquer un fou rire général sur le plateau de l'émission de Canal +.  Une allusion à la relation assez fraîche entre Samir Nasri et Didier Deschamps. Si les deux hommes partageaient le même agent (Jean-Pierre Bernès), la non-sélection de l'ex-Marseillais pour la Coupe du monde 2014 avait détérioré leur relation, Nasri mettant un terme à sa carrière internationale après cet épisode. ",football
"Benzema malmené par un jeune de 17 ans, la catastrophe","Fraîchement élu Ballon d'Or, Karim Benzema vient de se faire malmener par un joueur de 17 ans."," Benzema essoufflé après son Ballon d'Or ? Entré peu après l’heure de jeu face au Celtic (63e), à la place de Vinicius Jr., l’attaquant français n’a pas participé au festival offensif du Real Madrid, mercredi soir à Santiago-Bernabeu (5-1). Pire encore, le Français a achevé cette phase de groupes sans marquer, en quatre apparitions. Une première dans sa carrière. Mais il y a encore pire. le Nueve n’est effectivement plus le plus jeune joueur de l’histoire à avoir marqué lors de sa toute première titularisation en C1.  À 17 ans et 346 jours, Rico Lewis, virtuose de Manchester City lancée par Pep Guardiola, a détrôné le natif de Bron (17 ans et 352 jours) en se montrant décisif face au FC Séville (3-1). A Benzema de se remettre très vite dans le bain alors que le Mondial approche.",football
Catastrophe ! Cette immense star pourrait rater le Mondial,"Désignée comme l'un des poids lourds de la Coupe du monde, la Belgique pourrait être privée de l'un de ses meilleurs joueurs. "," Les forfaits importants se succèdent à moins de trois semaines du lever de rideau de la Coupe du monde. Après N'Golo Kanté ou Paul Pogba, c'est un joueur cadre de la Belgique qui pourrait acter son absence dans les heures à venir : Romelu Lukaku. Course contre la montre pour Lukaku L'attaquant de l'Inter Milan avait fait son retour à la compétition récemment. Mais il a été victime d'une rechute. Touché à la cuisse, le goleador belge a entamé une course contre la montre pour pouvoir rejoindre sa sélection à temps, mais il est d'ores et déjà acté qu'il ne participera pas au premier match de la Belgique, face au Canada, le 23 novembre, selon les informations de la Gazzetta dello Sport. Cette donnée influera-t-elle Roberto Martinez dans la composition de sa liste ? Certains sélectionneurs ont exprimé leur désir de ne pas s'appuyer sur des joueurs incapables de prendre part au début du tournoi. C'est le cas de Didier Deschamps. Il reste à savoir si son homologue aura le même type de stratégie, sachant que Lukaku est un maillon essentielle de son équipe. Meilleur buteur de l'histoire de la Belgique et élément incontournable du dispositif de Martinez, le goleador de l'Inter Milan sera peut-être repêché grâce à son statut. ",football
