article_text,labels
" Pele has been undergoing chemotherapy for bowel cancer since last September, and there were dire local media reports on his condition earlier onSaturday. However, the 82-year-old has now offered an update on his condition and thanked fans for the many messages of support he has received. ""My friends, I want to keep everyone calm and positive,"" Pele wrote on Instagram. ""I'm strong, with a lot of hope and I follow my treatment as usual. I want to thank the entire medical and nursing team for all the care I have received. ""I have a lot of faith in God and every message of love I receive from you all over the world keeps me full of energy. And watch Brazil in the World Cup too! ""Thank you so much for everything."" The Hospital Israelita Albert Einstein also issued a statement on Saturday regarding Pele. The hospital stated the Brazilian was ""stable, with a general improvement in his health status.""  Which was the best World Cup winning team? Which was the best World Cup winning team?",football
" Lionel Messi has his first goal in the knockout stage of a World Cup, and boy was it a crucial one, with the Argentina captain breaking the deadlock out of nowhere in a hard-fought 2-1 win over Australia. Up until that point, the Socceroos had frustrated the life out of the Argentina fans, who once again took over nearly an entire stadium here in Qatar. They had come to see Lionel Messi mark the 1000th game of his incredible career with another masterclass, and they eventually got one, but, for the first 35 minutes, pretty much nothing happened. The No.10 was quickly surrounded by yellow shirts every time he received the ball and he struggled to impose himself on the proceedings. Nobody else in an Argentine shirt looked like making a breakthrough either.  If history has taught us anything, though, it's that Messi only needs a split second to score, and that's precisely what he did, reacting first to what looked more like a loose touch than a lay-off from Nicolas Otamendi.  That lethal left foot took care of the rest, with the Paris Saint-Germain star simply passing the ball into the bottom corner of the Australia net. Julian Alvarez then took advantage of a shocking mistake from Mathew Ryan to make it 2-0 and although Australia set up a tense finale courtesy of a speculative shot from Craig Goodwin that deflected in off Enzo Fernandez, Argentina held on thanks to a terrific late block from Lisandro Martinez, and a fine stop from namesake Emiliano. Below, GOAL breaks down the winners, losers and ratings from another memorable night for Messi's Argentina...",football
" The Netherlands are back at the World Cup after missing the 2018 edition and head coach Louis van Gaal will be confident they can spring a surprise and go far. They have made it to three World Cup finals in the past, but have yet to lift the coveted trophy as they have fallen at the final hurdle each time. Could this be the time they finally leave that pain behind and go all the way? They navigated their way past hosts Qatar, Ecuador and Senegal in the group stages, finishing top of Group A with seven points from three games. Van Gaal's side then beat the USMNT 3-1 in the last 16 to book their place in the quarter-finals. Here are the 26 players Van Gaal has picked for the tournament proper and how they could line up in the next round against Argentina.",football
" Lionel Messi is in perhaps his final World Cup, and so far, so good for the Argentina icon. His latest performance - a goalscoring effort in the last 16 against Australia - was one of his most important, though there are certainly many standout efforts over the years to choose from. There may be more to come, too, as Messi will lead Argentina into a quarter-final clash with the Netherlands. GOAL takes a look at some of his best-ever international performances... Check out even more magic Messi moments!",football
" Australia had a chance to equalise against Argentina in the last minute of stoppage time of their last 16 clash. The ball came to substitute Garang Kuol in the penalty area, and he only had Martinez to beat. However, the Argentina goalkeeper managed to spread himself and make the block, with a vital save that was celebrated by his team-mates. That ending 🤯Australia had a golden chance to force extra time in the 97th minute but Emi Martinez pulls off a crucial save to secure the victory for Argentina 🙅‍♂️#BBCFootball #BBCWorldCup pic.twitter.com/Ytag07HT5u *exhale* - all of Argentina 😅 pic.twitter.com/3W8nCdK4up THE BIGGER PICTURE: Argentina had dominated the match but Australia got back in it when Craig Goodwin's strike deflected off Enzo Fernandez and made it 2-1 with a little over 10 minutes to go. Another goal would have sent the game into extra-time but the Socceroos couldn't find a way past Martinez. WHAT NEXT FOR ARGENTINA? La Albiceleste go on to play the Netherlands in the quarter-finals. Which was the best World Cup winning team? Which was the best World Cup winning team?",football
" It's World Cup time! After a four-year wait, the best national teams in the world are battling it out again to determine who lifts the coveted trophy after the final on December 18. At Russia 2018, France claimed World Cup glory, with Didier Deschamps - who also won the tournament as a player - seeing his side defeat Croatia 4-2 in the final. Can the French retain their crown or is it finally Lionel Messi or Cristiano Ronaldo's turn to add a World Cup to their enviable list of honours? How about a Neymar-inspired Brazil to come out on top? Eternal favourites Germany and Spain will surely fancy their chances too. The talent - and fashion - on show in Qatar is simply outrageous and it promises to be yet another phenomenal tournament, but what does each team's schedule look like and where do they sit in the standings? We've got you covered with all the info you need to stay right on top of everything in Qatar!",football
" Brazil are still sweating on Neymar's fitness ahead of their knockout tie against South Korea after the Paris Saint-Germain forward sustained an ankle injury in his team's opening win against Serbia. Neymar has missed Brazil's last two matches but seems to be in positive mood ahead of the last 16 match. THE BIGGER PICTURE: Brazil will obviously want to have their talisman back as soon as possible. Tite does not lack for quality forwards in his star-studded squad, although he has seen Gabriel Jesus ruled out of the tournament with a knee problem. WHAT NEXT FOR NEYMAR? Brazil take on South Korea on Monday but it's still not clear if Neymar will be able to feature or if he'll have to watch from the sidelines again. Which was the best World Cup winning team? Which was the best World Cup winning team?",football
" The highly-contested World Cup 2022 Golden Boot race is in full flow, with some of the game's deadliest goal-scorers taking their poaching talents to the biggest stage.  Harry Kane scooped up the Golden Boot at the 2018 World Cup in Russia, but who will take home the coveted prize this time around?  Kane, for one, remains a strong favourite to win the Golden Boot for the second tournament in a row - something no one has ever done – but he'll have no shortage of competition, with the likes of Cristiano Ronaldo, Lionel Messi, Robert Lewandowski, Neymar, Memphis Depay, Mehdi Taremi, Enner Valencia, among others, staking their claims for the award.  With goals expected to rain heavily at the World Cup, GOAL is on hand to monitor the race for the World Cup Golden Boot!",football
" Speaking after the Oranje's 3-1 victory over the USMNT on Saturday, Van Dijk claimed that the Spanish club are on a much higher level than their Manchester rivals. The centre-back was full of praise for the young forward, arguing that a move to Madrid could be the logical ""next step"" in his career. WHAT THEY SAID: “Are Manchester United and Real Madrid on the same level? No disrespect, not at all,"" Van Dijk said. ""I definitely think he has that next step in him. I definitely feel like it could happen, whether that is in the winter or the summer or next year, time will tell. He is a great boy who works hard, very talented and definitely there is more in him. We are so pleased he is doing so well for us. Long may it continue.” THE BIGGER PICTURE: While Gakpo didn't get on the scoresheet against the US, his three goals in Qatar alongside his 12 goals and 16 assists in all competitions for PSV in 2022-23 have made him one of the hottest properties in Europe right now. While PSV director Marcel Brands ruled out a January transfer, the 23-year-old is set to have a host of potential suitors if he decides to move on in the summer. IN THREE PHOTOS: WHAT NEXT FOR GAKPO? The PSV star is set to feature once again for Louis van Gaal's side in their quarter-final matchup next Friday.",football
" Australia goalkeeper Ryan was guilty of a mistake as took a heavy touch from a back pass which allowed Alvarez to nick possession and fire the ball into an empty net to make it 2-0 to Argentina. It was a crucial error, as it gave Argentina a needed cushion with Australia pulling a late goal back in an eventual 2-1 result. That is a howler from Matt Ryan 🙈It's an absolute gift for Julian Alvarez who pounces on the Australia keeper's error to double Argentina's lead 😬#BBCFootball #BBCWorldCup pic.twitter.com/RAt1BYVEPt The pressure from Argentina was too much for Australia 😳 pic.twitter.com/t73XO5fopL THE BIGGER PICTURE: Alvarez's goal left Australia with a mountain to climb. Argentina had gone ahead through Lionel Messi's first World Cup knockout goal and had dominated proceedings. Alvarez's second just before the hour mark put Lionel Scaloni's side in charge of the game, and while Australia did score late, it was merely a consolation.  WHAT NEXT? Argentina go on to face the Netherlands in the quarter-finals. Which was the best World Cup winning team? Which was the best World Cup winning team?",football
